epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.1897,0.89956,3.7072,1.25421,0.74696,0.2749,0.36277,0.30687,0.64331,1.87909,1.06544,0.000132203,0.000132203,0.000132203
2,84.7764,0.76333,2.13536,1.15054,0.87057,0.55114,0.69509,0.59142,0.64633,1.08728,1.09483,0.000260279,0.000260279,0.000260279
3,124.792,0.72383,1.57736,1.09628,0.82438,0.84191,0.89184,0.77226,0.59638,0.81663,1.03725,0.000383075,0.000383075,0.000383075
4,164.325,0.69304,1.27108,1.06777,0.92511,0.95058,0.96881,0.84413,0.58368,0.65278,0.99835,0.00037624,0.00037624,0.00037624
5,203.608,0.68569,1.09641,1.04788,0.95242,0.96661,0.97744,0.86768,0.53219,0.47452,0.95738,0.00036832,0.00036832,0.00036832
6,242.762,0.64845,0.95393,1.02518,0.99041,0.97703,0.98463,0.87044,0.53755,0.43861,0.95456,0.0003604,0.0003604,0.0003604
7,281.728,0.6294,0.84827,1.00531,0.98991,0.98721,0.9853,0.87543,0.50986,0.42832,0.94124,0.00035248,0.00035248,0.00035248
8,321.044,0.60933,0.78064,0.99398,0.99538,0.98753,0.98576,0.88194,0.50685,0.38709,0.93849,0.00034456,0.00034456,0.00034456
9,360.078,0.5949,0.71636,0.98056,0.9963,0.9876,0.98529,0.89,0.5162,0.36668,0.93995,0.00033664,0.00033664,0.00033664
10,399.147,0.59092,0.66846,0.98543,0.99116,0.9879,0.98506,0.89661,0.47498,0.36013,0.91549,0.00032872,0.00032872,0.00032872
11,438.337,0.58091,0.61346,0.98408,0.9951,0.9859,0.98515,0.89582,0.47018,0.34063,0.91546,0.0003208,0.0003208,0.0003208
12,477.342,0.57267,0.59088,0.98121,0.99497,0.98845,0.98551,0.90226,0.45756,0.32572,0.9069,0.00031288,0.00031288,0.00031288
13,516.287,0.56484,0.56106,0.97372,0.99599,0.9899,0.9855,0.90339,0.44992,0.29724,0.90069,0.00030496,0.00030496,0.00030496
14,555.513,0.56192,0.5388,0.96831,0.99352,0.9899,0.98546,0.89575,0.44582,0.29403,0.90036,0.00029704,0.00029704,0.00029704
15,594.928,0.55192,0.51876,0.97147,0.99389,0.9874,0.98612,0.90713,0.43781,0.29321,0.89311,0.00028912,0.00028912,0.00028912
16,633.883,0.53833,0.48962,0.95928,0.99569,0.9899,0.9866,0.91692,0.41465,0.27056,0.88336,0.0002812,0.0002812,0.0002812
17,673.034,0.53389,0.47397,0.95739,0.99631,0.98971,0.98749,0.91232,0.42117,0.29263,0.88887,0.00027328,0.00027328,0.00027328
18,712.21,0.52002,0.46168,0.94821,0.9951,0.98999,0.98728,0.91542,0.41458,0.26812,0.88157,0.00026536,0.00026536,0.00026536
19,751.094,0.51732,0.44293,0.95099,0.99765,0.98952,0.98798,0.92598,0.40184,0.25738,0.87488,0.00025744,0.00025744,0.00025744
20,790.215,0.50045,0.41646,0.9407,0.9969,0.98996,0.98806,0.9287,0.39333,0.24428,0.87032,0.00024952,0.00024952,0.00024952
21,839.426,0.51023,0.42501,0.94878,0.99643,0.98552,0.98774,0.93007,0.38806,0.24123,0.87037,0.0002416,0.0002416,0.0002416
22,880.79,0.49129,0.40495,0.94448,0.99501,0.9896,0.98806,0.92903,0.39204,0.25252,0.86924,0.00023368,0.00023368,0.00023368
23,919.357,0.4893,0.39294,0.93696,0.99707,0.9889,0.98804,0.92834,0.39181,0.2407,0.86574,0.00022576,0.00022576,0.00022576
24,958.399,0.47576,0.37952,0.94094,0.998,0.9899,0.98794,0.93845,0.36727,0.22421,0.85806,0.00021784,0.00021784,0.00021784
25,997.488,0.47368,0.36955,0.93508,0.99731,0.98999,0.98806,0.93787,0.35683,0.21592,0.85232,0.00020992,0.00020992,0.00020992
26,1036.47,0.47039,0.36082,0.93344,0.99725,0.98998,0.98826,0.93644,0.3535,0.21363,0.85037,0.000202,0.000202,0.000202
27,1075.44,0.45929,0.35664,0.92705,0.99799,0.99076,0.98787,0.94836,0.34737,0.21271,0.84781,0.00019408,0.00019408,0.00019408
28,1114.44,0.45792,0.34646,0.92984,0.99512,0.99077,0.988,0.94194,0.35165,0.21489,0.85142,0.00018616,0.00018616,0.00018616
29,1153.75,0.45544,0.33832,0.92589,0.99648,0.98972,0.98785,0.9463,0.33732,0.20555,0.84413,0.00017824,0.00017824,0.00017824
30,1192.58,0.45335,0.33703,0.93015,0.99706,0.99007,0.98803,0.95,0.33213,0.2002,0.84111,0.00017032,0.00017032,0.00017032
31,1231.51,0.44176,0.32376,0.91942,0.99611,0.99125,0.98805,0.94926,0.33786,0.21238,0.84611,0.0001624,0.0001624,0.0001624
32,1270.34,0.43682,0.3212,0.92478,0.99802,0.99005,0.9881,0.95145,0.3223,0.19091,0.83696,0.00015448,0.00015448,0.00015448
33,1309.64,0.42381,0.3099,0.9179,0.99799,0.99132,0.98835,0.95467,0.3232,0.19525,0.839,0.00014656,0.00014656,0.00014656
34,1348.73,0.42043,0.30918,0.91571,0.99719,0.99221,0.98805,0.95391,0.32459,0.19889,0.83902,0.00013864,0.00013864,0.00013864
35,1387.55,0.42136,0.30494,0.91888,0.99745,0.99032,0.98838,0.95892,0.29634,0.17759,0.82667,0.00013072,0.00013072,0.00013072
36,1426.61,0.40817,0.29362,0.91255,0.99778,0.99154,0.98822,0.96127,0.29542,0.18181,0.82574,0.0001228,0.0001228,0.0001228
37,1465.77,0.40949,0.30186,0.91211,0.99775,0.99225,0.98834,0.9663,0.27958,0.17122,0.82023,0.00011488,0.00011488,0.00011488
38,1504.89,0.4054,0.2876,0.90826,0.99837,0.99221,0.98835,0.9677,0.28179,0.17421,0.82187,0.00010696,0.00010696,0.00010696
39,1543.85,0.39264,0.28613,0.90544,0.99762,0.99209,0.98835,0.96701,0.27471,0.17116,0.8201,9.904e-05,9.904e-05,9.904e-05
40,1582.78,0.39155,0.28207,0.90952,0.99806,0.99144,0.98877,0.96443,0.27823,0.17061,0.82048,9.112e-05,9.112e-05,9.112e-05
41,1684.63,0.3234,0.26478,0.85349,0.99862,0.99009,0.98876,0.96467,0.27644,0.16988,0.81874,8.32e-05,8.32e-05,8.32e-05
42,1723.89,0.30599,0.24677,0.84401,0.99787,0.99129,0.98875,0.96822,0.26332,0.1621,0.81429,7.528e-05,7.528e-05,7.528e-05
43,1763.73,0.30152,0.2401,0.83754,0.9984,0.99214,0.9885,0.97076,0.25898,0.16988,0.81209,6.736e-05,6.736e-05,6.736e-05
44,1802.79,0.29712,0.23585,0.8374,0.9974,0.99221,0.98841,0.97299,0.25195,0.15605,0.80864,5.944e-05,5.944e-05,5.944e-05
45,1841.55,0.29159,0.22655,0.83019,0.99732,0.99221,0.9884,0.97183,0.24959,0.15669,0.80727,5.152e-05,5.152e-05,5.152e-05
46,1880.13,0.28511,0.22363,0.8262,0.99842,0.99221,0.98873,0.97526,0.24264,0.14777,0.80462,4.36e-05,4.36e-05,4.36e-05
47,1919.01,0.27498,0.2133,0.82357,0.99875,0.99225,0.98863,0.97593,0.23428,0.14464,0.80189,3.568e-05,3.568e-05,3.568e-05
48,1957.94,0.27229,0.21021,0.83314,0.99875,0.99225,0.98878,0.97733,0.22761,0.14088,0.79991,2.776e-05,2.776e-05,2.776e-05
49,1997.2,0.26796,0.20741,0.82309,0.9987,0.99228,0.98865,0.97698,0.22765,0.13851,0.79962,1.984e-05,1.984e-05,1.984e-05
50,2035.87,0.26403,0.20263,0.82302,0.99879,0.99223,0.98872,0.97779,0.2218,0.13687,0.79821,1.192e-05,1.192e-05,1.192e-05
